,NO,SMILES structure,logD,smi
110,A-logD7.4-154,OC=1C(=O)C=CN(CCOC)C=1C,-0.41,O C = 1 C ( = O ) C = C N ( C C O C ) C = 1 C
111,A-logD7.4-24,Oc1ccc(cc1)C[C@H](NC(=O)C)C(=O)NCC(=O)NCC(=O)N[C@@H](CCC(=O)N)C(=O)N,-2.59,O c 1 c c c ( c c 1 ) C [C@H] ( N C ( = O ) C ) C ( = O ) N C C ( = O ) N C C ( = O ) N [C@@H] ( C C C ( = O ) N ) C ( = O ) N
112,A-logD7.4-384,OC=1C(=O)C=CN(CCCCC)C=1C,1.24,O C = 1 C ( = O ) C = C N ( C C C C C ) C = 1 C
113,B-logD7.4-281,s1c2c(nc1O)c(O)ccc2CCNCCSCCCOCCc1ncccc1,1.75,s 1 c 2 c ( n c 1 O ) c ( O ) c c c 2 C C N C C S C C C O C C c 1 n c c c c 1
114,E-logD7.4-8,O(C)c1ccc(cc1)/C(=N/O)/CNC1CCCCC1,2.93,O ( C ) c 1 c c c ( c c 1 ) / C ( = N / O ) / C N C 1 C C C C C 1
115,O-412,O1c2c3c4c(c(O)c2C)C(O)=C(NC(=O)C(=C\C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(=O)C)[C@H](C)[C@@H](OC)\C=C/O[C@]1(C)C3=O)C)\C(=C/NN1CCN(CC1)C)\C4=O,0.98,O 1 c 2 c 3 c 4 c ( c ( O ) c 2 C ) C ( O ) = C ( N C ( = O ) C ( = C \ C = C / [C@H] ( C ) [C@H] ( O ) [C@@H] ( C ) [C@@H] ( O ) [C@@H] ( C ) [C@H] ( O C ( = O ) C ) [C@H] ( C ) [C@@H] ( O C ) \ C = C / O [C@] 1 ( C ) C 3 = O ) C ) \ C ( = C / N N 1 C C N ( C C 1 ) C ) \ C 4 = O
116,E-logD7.4-11,O(C)c1ccc(cc1)/C(=N\O)/Nc1ccccc1,3.1,O ( C ) c 1 c c c ( c c 1 ) / C ( = N \ O ) / N c 1 c c c c c 1
117,O-563,n1c2c(CCCC2)c(N)c2c1cccc2,0.34,n 1 c 2 c ( C C C C 2 ) c ( N ) c 2 c 1 c c c c 2
118,A-logD7.4-544,n1nc(Nn2c(ccc2C)C)ccc1N(C)C,2.18,n 1 n c ( N n 2 c ( c c c 2 C ) C ) c c c 1 N ( C ) C
119,B-logD7.4-213,O1c2cc(ccc2OC1)CN1CCC2(N(CNC2=O)c2ccccc2)CC1,2.2,O 1 c 2 c c ( c c c 2 O C 1 ) C N 1 C C C 2 ( N ( C N C 2 = O ) c 2 c c c c c 2 ) C C 1
120,C-logD7.4-13,O=C(N1CCc2c1cc1c(nc(cc1C)C)c2)C,2.64,O = C ( N 1 C C c 2 c 1 c c 1 c ( n c ( c c 1 C ) C ) c 2 ) C
121,A-logD7.4-625,O1C2(OOC13CCN(CC3)C(=O)N1CCN(CC1)C)C1CC3CC2CC(C1)C3,2.6,O 1 C 2 ( O O C 13 C C N ( C C 3 ) C ( = O ) N 1 C C N ( C C 1 ) C ) C 1 C C 3 C C 2 C C ( C 1 ) C 3
122,A-logD7.4-345,Clc1cc2NC3=C(C(=O)c2cc1)C(=O)N(NC3=O)Cc1oc(C)c(c1)C,1.0,Cl c 1 c c 2 N C 3 = C ( C ( = O ) c 2 c c 1 ) C ( = O ) N ( N C 3 = O ) C c 1 o c ( C ) c ( c 1 ) C
123,A-logD7.4-164,s1c2c(S(=O)(=O)N(C)\C(=C(/O)\Nc3ncccc3)\C2=O)cc1,-0.32,s 1 c 2 c ( S ( = O ) ( = O ) N ( C ) \ C ( = C ( / O ) \ N c 3 n c c c c 3 ) \ C 2 = O ) c c 1
124,O-198,S(=O)(Cc1ncccc1)c1[nH]c2c(n1)cccc2,1.33,S ( = O ) ( C c 1 n c c c c 1 ) c 1 [nH] c 2 c ( n 1 ) c c c c 2
125,O-545,O(C[C@H](O)CNC(C)C)c1c2c3c([nH]c2ccc1)cccc3,1.58,O ( C [C@H] ( O ) C N C ( C ) C ) c 1 c 2 c 3 c ( [nH] c 2 c c c 1 ) c c c c 3
126,O-306,OC(=O)c1ccccc1N,-1.31,O C ( = O ) c 1 c c c c c 1 N
127,O-325,O1[C@@H]2[C@]34CCN([C@H](Cc5c3c1c(O)cc5)[C@]4(O)CCC2=O)CC=C,1.09,O 1 [C@@H] 2 [C@] 34 C C N ( [C@H] ( C c 5 c 3 c 1 c ( O ) c c 5 ) [C@] 4 ( O ) C C C 2 = O ) C C = C
128,O-230,Clc1ccc(cc1)C(=O)c1ccn(c1)CC(O)=O,-0.29,Cl c 1 c c c ( c c 1 ) C ( = O ) c 1 c c n ( c 1 ) C C ( O ) = O
129,O-452,S1[C@H]2N([C@@H](C(O)=O)C1(C)C)C(=O)[C@H]2NC(=O)[C@H](N)c1ccccc1,-1.85,S 1 [C@H] 2 N ( [C@@H] ( C ( O ) = O ) C 1 ( C ) C ) C ( = O ) [C@H] 2 N C ( = O ) [C@H] ( N ) c 1 c c c c c 1
130,O-471,O=C1N(C)C(=O)N(c2ncn(c12)C[C@@H](O)C)C,-0.07,O = C 1 N ( C ) C ( = O ) N ( c 2 n c n ( c 12 ) C [C@@H] ( O ) C ) C
131,A-logD7.4-836,O1[C@H](/C(=C/[C@H]2C[C@@H](OC)[C@H](O)CC2)/C)[C@H](C)[C@@H](O)CC(=O)[C@@H](\C=C(\C[C@@H](C[C@H](OC)[C@H]2O[C@](O)([C@@H](C[C@@H]2OC)C)C(=O)C(=O)N2[C@@H](CCCC2)C1=O)C)/C)CC=C,4.38,O 1 [C@H] ( / C ( = C / [C@H] 2 C [C@@H] ( O C ) [C@H] ( O ) C C 2 ) / C ) [C@H] ( C ) [C@@H] ( O ) C C ( = O ) [C@@H] ( \ C = C ( \ C [C@@H] ( C [C@H] ( O C ) [C@H] 2 O [C@] ( O ) ( [C@@H] ( C [C@@H] 2 O C ) C ) C ( = O ) C ( = O ) N 2 [C@@H] ( C C C C 2 ) C 1 = O ) C ) / C ) C C = C
132,A-logD7.4-163,[nH]1cc(c2cc(ccc12)Cn1ncnn1)CCN(C)C,-0.34,[nH] 1 c c ( c 2 c c ( c c c 12 ) C n 1 n c n n 1 ) C C N ( C ) C
133,C-logD7.4-36,Brc1n2C=CC=Nc2nc1-c1cc2OCOc2cc1,3.48,Br c 1 n 2 C = C C = N c 2 n c 1- c 1 c c 2 O C O c 2 c c 1
134,A-logD7.4-754,Clc1cc(F)c(Nc2ncnc3c2cc(OC)c(OCCCN2CCOCC2)c3)cc1,3.4,Cl c 1 c c ( F ) c ( N c 2 n c n c 3 c 2 c c ( O C ) c ( O C C C N 2 C C O C C 2 ) c 3 ) c c 1
135,O-350,Clc1cc\2c(Sc3c(cccc3)/C/2=C/CCN(C)C)cc1,3.71,Cl c 1 c c \2 c ( S c 3 c ( c c c c 3 ) / C /2 = C / C C N ( C ) C ) c c 1
136,O-365,O=C1C=C2CC[C@H]3[C@H]([C@@]2(C=C1)C)C(=O)C[C@]1([C@@H]3CC[C@]1(O)C(=O)CO)C,1.44,O = C 1 C = C 2 C C [C@H] 3 [C@H] ( [C@@] 2 ( C = C 1 ) C ) C ( = O ) C [C@] 1 ( [C@@H] 3 C C [C@] 1 ( O ) C ( = O ) C O ) C
137,A-logD7.4-445,[nH]1c2CCN(Cc2cc1)Cc1ccccc1,1.59,[nH] 1 c 2 C C N ( C c 2 c c 1 ) C c 1 c c c c c 1
138,A-logD7.4-338,FC=1c2n(C=CC=1)ccn2,0.9,F C = 1 c 2 n ( C = C C = 1 ) c c n 2
139,A-logD7.4-162,[nH]1cc(c2cc(-n3ncnc3)ccc12)CCN(C)C,-0.34,[nH] 1 c c ( c 2 c c ( - n 3 n c n c 3 ) c c c 12 ) C C N ( C ) C
140,O-29,O=C1N(N(C)C(=C1)C)c1ccccc1,0.4,O = C 1 N ( N ( C ) C ( = C 1 ) C ) c 1 c c c c c 1
141,A-logD7.4-476,O1c2c(OCC1c1[nH]ccn1)cccc2,1.76,O 1 c 2 c ( O C C 1 c 1 [nH] c c n 1 ) c c c c 2
142,A-logD7.4-423,Clc1cc2NC3=C(C(=O)c2cc1)C(=O)N(NC3=O)Cc1sccc1C,1.4,Cl c 1 c c 2 N C 3 = C ( C ( = O ) c 2 c c 1 ) C ( = O ) N ( N C 3 = O ) C c 1 s c c c 1 C
143,C-logD7.4-25,s1c2cc(OC)ccc2cc1C(=O)Nc1ccc(cc1)C1CCN(CC1)C,3.11,s 1 c 2 c c ( O C ) c c c 2 c c 1 C ( = O ) N c 1 c c c ( c c 1 ) C 1 C C N ( C C 1 ) C
144,A-logD7.4-347,Clc1ccc(cc1)CCCNC(=O)C1(CCCC1)C[C@@H](CCOC)C(O)=O,1.0,Cl c 1 c c c ( c c 1 ) C C C N C ( = O ) C 1 ( C C C C 1 ) C [C@@H] ( C C O C ) C ( O ) = O
145,O-185,Clc1cc(Cl)ccc1C1(OC(CO1)CCC)Cn1ncnc1,3.5,Cl c 1 c c ( Cl ) c c c 1 C 1 ( O C ( C O 1 ) C C C ) C n 1 n c n c 1
146,E-logD7.4-21,O(C)c1ccc(cc1)/C(=N/O)/NC1CCCCC1,3.82,O ( C ) c 1 c c c ( c c 1 ) / C ( = N / O ) / N C 1 C C C C C 1
147,A-logD7.4-837,Ic1ccc(OC)cc1CN(C(=O)C)c1cc(F)ccc1Oc1ccccc1,4.42,I c 1 c c c ( O C ) c c 1 C N ( C ( = O ) C ) c 1 c c ( F ) c c c 1 O c 1 c c c c c 1
148,B-logD7.4-167,OCCn1c(ncc1[N+](=O)[O-])C,-0.02,O C C n 1 c ( n c c 1 [N+] ( = O ) [O-] ) C
149,A-logD7.4-262,O1C(=O)c2c(N=C1N1CCCC1C(=O)N)cccc2,0.4,O 1 C ( = O ) c 2 c ( N = C 1 N 1 C C C C 1 C ( = O ) N ) c c c c 2
150,B-logD7.4-228,O(C)c1cc(\C=C\C(=O)N2CCC3(N(CNC3=O)c3ccccc3)CC2)c([N+](=O)[O-])cc1OC,3.0,O ( C ) c 1 c c ( \ C = C \ C ( = O ) N 2 C C C 3 ( N ( C N C 3 = O ) c 3 c c c c c 3 ) C C 2 ) c ( [N+] ( = O ) [O-] ) c c 1 O C
151,A-logD7.4-567,S(=O)(=O)(CCN1CCC2(OC3(OO2)C2CC4CC3CC(C2)C4)CC1)CC,2.3,S ( = O ) ( = O ) ( C C N 1 C C C 2 ( O C 3 ( O O 2 ) C 2 C C 4 C C 3 C C ( C 2 ) C 4 ) C C 1 ) C C
152,O-555,Oc1ccc(cc1C(=O)N)[C@H](O)CN[C@@H](CCc1ccccc1)C,1.08,O c 1 c c c ( c c 1 C ( = O ) N ) [C@H] ( O ) C N [C@@H] ( C C c 1 c c c c c 1 ) C
153,I-logDoct-PBS-11,n1cccnc1Cc1cc(ccc1)CN,-1.11,n 1 c c c n c 1 C c 1 c c ( c c c 1 ) C N
154,O-268,OC(CO)CO,-1.9,O C ( C O ) C O
155,B-logD7.4-131,O=C1N(C)C(=O)N(c2ncn(c12)C)C,-0.07,O = C 1 N ( C ) C ( = O ) N ( c 2 n c n ( c 12 ) C ) C
156,I-logDoct-PBS-24,O=C(N)c1cc(ccc1)Cn1c2c(nc1)cccc2,1.7,O = C ( N ) c 1 c c ( c c c 1 ) C n 1 c 2 c ( n c 1 ) c c c c 2
157,O-75,O(C)c1cc2c(cc(cc2)[C@@H](C(O)=O)C)cc1,0.3,O ( C ) c 1 c c 2 c ( c c ( c c 2 ) [C@@H] ( C ( O ) = O ) C ) c c 1
158,J-D7.4-1,OC=1C(=O)C=CN(C)C=1CO,-1.32,O C = 1 C ( = O ) C = C N ( C ) C = 1 C O
159,O-177,[Br-].O1c2c(cccc2)C(c2c1cccc2)C(OC1CC2[N+](C(C1)CC2)(C)C)=O,-1.45,[Br-] . O 1 c 2 c ( c c c c 2 ) C ( c 2 c 1 c c c c 2 ) C ( O C 1 C C 2 [N+] ( C ( C 1 ) C C 2 ) ( C ) C ) = O
160,B-logD7.4-319,s1c2c(nc1O)c(O)ccc2CCNCCCS(=O)(=O)NCCSCCc1ccccc1,1.77,s 1 c 2 c ( n c 1 O ) c ( O ) c c c 2 C C N C C C S ( = O ) ( = O ) N C C S C C c 1 c c c c c 1
161,A-logD7.4-737,Clc1cc2N(c3c(CCc2cc1)cccc3)CCCN(C)C,3.28,Cl c 1 c c 2 N ( c 3 c ( C C c 2 c c 1 ) c c c c 3 ) C C C N ( C ) C
162,O-396,Clc1ccccc1C1=NCC(=O)Nc2c1cc([N+](=O)[O-])cc2,2.45,Cl c 1 c c c c c 1 C 1 = N C C ( = O ) N c 2 c 1 c c ( [N+] ( = O ) [O-] ) c c 2
163,C-logD7.4-22,o1c(ccc1[N+](=O)[O-])C(=O)NNC(=O)c1cc2c(cc1)cccc2,3.02,o 1 c ( c c c 1 [N+] ( = O ) [O-] ) C ( = O ) N N C ( = O ) c 1 c c 2 c ( c c 1 ) c c c c 2
164,A-logD7.4-695,Clc1cc(N2CCN(CC2)CCCN2N=C3N(C=CC=C3)C2=O)ccc1,2.97,Cl c 1 c c ( N 2 C C N ( C C 2 ) C C C N 2 N = C 3 N ( C = C C = C 3 ) C 2 = O ) c c c 1
165,A-logD7.4-671,O1C(=Nc2c(cc3c(c2)cccc3)C1=O)C,2.8,O 1 C ( = N c 2 c ( c c 3 c ( c 2 ) c c c c 3 ) C 1 = O ) C
166,A-logD7.4-563,S(=O)(=O)(NCc1nc(on1)[C@H](CCCC1CCCCC1)CC(=O)NO)C,2.3,S ( = O ) ( = O ) ( N C c 1 n c ( o n 1 ) [C@H] ( C C C C 1 C C C C C 1 ) C C ( = O ) N O ) C
167,A-logD7.4-668,O(COC)C1CCN(CC1)C(=O)[C@@H](N[C@@H](CCCC)C(=O)N[C@H]([C@@H](O)C[C@@H](C(C)C)C(=O)NCCCN(C)C)CC1CCCCC1)Cc1ccccc1,2.8,O ( C O C ) C 1 C C N ( C C 1 ) C ( = O ) [C@@H] ( N [C@@H] ( C C C C ) C ( = O ) N [C@H] ( [C@@H] ( O ) C [C@@H] ( C ( C ) C ) C ( = O ) N C C C N ( C ) C ) C C 1 C C C C C 1 ) C c 1 c c c c c 1
168,F-logD7.4-12,OC1=CC=CN(CC(=O)NC(C)C)C1=O,-0.34,O C 1 = C C = C N ( C C ( = O ) N C ( C ) C ) C 1 = O
169,A-logD7.4-132,S1(=O)(=O)N(CCN1C)CCc1cc2c([nH]cc2CCN(C)C)cc1,-0.57,S 1 ( = O ) ( = O ) N ( C C N 1 C ) C C c 1 c c 2 c ( [nH] c c 2 C C N ( C ) C ) c c 1
170,A-logD7.4-862,ClCCN(CCCl)c1ccc(cc1)CCCC(=O)NCCCCCC[C@H]1[C@H]2[C@@H]3CC[C@H](O)[C@]3(CC[C@@H]2c2c(cc(O)cc2)C1)C,5.07,Cl C C N ( C C Cl ) c 1 c c c ( c c 1 ) C C C C ( = O ) N C C C C C C [C@H] 1 [C@H] 2 [C@@H] 3 C C [C@H] ( O ) [C@] 3 ( C C [C@@H] 2 c 2 c ( c c ( O ) c c 2 ) C 1 ) C
171,O-4,S1[C@H]2N(C(C(O)=O)=C(C1)C)C(=O)[C@H]2NC(=O)[C@H](N)c1ccccc1,-1.0,S 1 [C@H] 2 N ( C ( C ( O ) = O ) = C ( C 1 ) C ) C ( = O ) [C@H] 2 N C ( = O ) [C@H] ( N ) c 1 c c c c c 1
172,A-logD7.4-791,O1C(=O)c2c(N=C1N[C@@H](CC(C)C)C(OC)=O)cccc2C,3.7,O 1 C ( = O ) c 2 c ( N = C 1 N [C@@H] ( C C ( C ) C ) C ( O C ) = O ) c c c c 2 C
173,B-logD7.4-305,s1c2c(nc1O)c(O)ccc2CCNCCNS(=O)(=O)CCCOCCc1ccccc1,1.83,s 1 c 2 c ( n c 1 O ) c ( O ) c c c 2 C C N C C N S ( = O ) ( = O ) C C C O C C c 1 c c c c c 1
174,A-logD7.4-261,Clc1cc(Cl)ccc1-c1nc(nc(N)c1CN)N,0.4,Cl c 1 c c ( Cl ) c c c 1- c 1 n c ( n c ( N ) c 1 C N ) N
175,C-logD7.4-33,Clc1cc(Cl)ccc1OCCCON1C(NC(=NC1=N)N)(C)C,3.39,Cl c 1 c c ( Cl ) c c c 1 O C C C O N 1 C ( N C ( = N C 1 = N ) N ) ( C ) C
176,A-logD7.4-369,O=C1N(c2c(cccc2)C(=N[C@H]1NC(=O)Nc1cc(N(C)c2nn[nH]n2)ccc1)c1ccccc1)C,1.14,O = C 1 N ( c 2 c ( c c c c 2 ) C ( = N [C@H] 1 N C ( = O ) N c 1 c c ( N ( C ) c 2 n n [nH] n 2 ) c c c 1 ) c 1 c c c c c 1 ) C
177,A-logD7.4-590,O1C(=O)c2c(N=C1NC(C)C)cccc2,2.4,O 1 C ( = O ) c 2 c ( N = C 1 N C ( C ) C ) c c c c 2
178,A-logD7.4-780,Fc1cc(N(Cc2cc(OC)ccc2OC)C(=O)C)c(Oc2ccccc2)cc1,3.65,F c 1 c c ( N ( C c 2 c c ( O C ) c c c 2 O C ) C ( = O ) C ) c ( O c 2 c c c c c 2 ) c c 1
179,O-235,OC(=O)Cn1cc(c2c1cccc2)C(=O)c1ccccc1,-0.1,O C ( = O ) C n 1 c c ( c 2 c 1 c c c c 2 ) C ( = O ) c 1 c c c c c 1
180,B-logD7.4-17,s1cc(S(=O)(=O)c2ccc(cc2)CNCCCC)cc1S(=O)(=O)N,2.1,s 1 c c ( S ( = O ) ( = O ) c 2 c c c ( c c 2 ) C N C C C C ) c c 1 S ( = O ) ( = O ) N
181,B-logD7.4-279,s1c2c(nc1O)c(O)ccc2CCNCCSCCCOCCc1ccc([N+](=O)[O-])cc1,3.29,s 1 c 2 c ( n c 1 O ) c ( O ) c c c 2 C C N C C S C C C O C C c 1 c c c ( [N+] ( = O ) [O-] ) c c 1
182,A-logD7.4-799,O1C(=O)c2c(N=C1NC(C)C)c(C)c(cc2)C,3.8,O 1 C ( = O ) c 2 c ( N = C 1 N C ( C ) C ) c ( C ) c ( c c 2 ) C
183,A-logD7.4-70,Fc1cc2c(N(C=C(C(O)=O)C2=O)c2ccc(F)cc2)cc1N1CCNCC1,-1.18,F c 1 c c 2 c ( N ( C = C ( C ( O ) = O ) C 2 = O ) c 2 c c c ( F ) c c 2 ) c c 1 N 1 C C N C C 1
184,F-logD7.4-21,OC1=CC=CN(CCCC)C1=O,1.2,O C 1 = C C = C N ( C C C C ) C 1 = O
185,A-logD7.4-515,O1CCN(CC1)c1nnc(N(n2cccc2)C)cc1,2.0,O 1 C C N ( C C 1 ) c 1 n n c ( N ( n 2 c c c c 2 ) C ) c c 1
186,B-logD7.4-133,ClC(Cl)C(=O)N[C@@H]([C@H](O)c1ccc([N+](=O)[O-])cc1)CO,1.14,Cl C ( Cl ) C ( = O ) N [C@@H] ( [C@H] ( O ) c 1 c c c ( [N+] ( = O ) [O-] ) c c 1 ) C O
187,B-logD7.4-86,O(COC)C1CCN(CC1)C(=O)[C@@H](N[C@@H](CCCC)C(=O)N[C@H]([C@@H](O)C[C@@H](C(C)C)C(=O)NCCCN)CC1CCCCC1)Cc1ccccc1,3.3,O ( C O C ) C 1 C C N ( C C 1 ) C ( = O ) [C@@H] ( N [C@@H] ( C C C C ) C ( = O ) N [C@H] ( [C@@H] ( O ) C [C@@H] ( C ( C ) C ) C ( = O ) N C C C N ) C C 1 C C C C C 1 ) C c 1 c c c c c 1
188,A-logD7.4-294,n1ccccc1,0.57,n 1 c c c c c 1
189,B-logD7.4-21,s1cc(cc1S(=O)(=O)N)C(=O)c1cc(ccc1)CNCC(C)C,2.63,s 1 c c ( c c 1 S ( = O ) ( = O ) N ) C ( = O ) c 1 c c ( c c c 1 ) C N C C ( C ) C
190,B-logD7.4-107,N(C(Nc1ccc(cc1)CCCC)=N)c1ccc(cc1)CCCC,4.1,N ( C ( N c 1 c c c ( c c 1 ) C C C C ) = N ) c 1 c c c ( c c 1 ) C C C C
191,A-logD7.4-355,s1c2CCN(CCc2nc1N)CC=C,1.09,s 1 c 2 C C N ( C C c 2 n c 1 N ) C C = C
192,A-logD7.4-115,[nH]1cc(c2cc(ccc12)Cn1ncnc1)CCN(C)C,-0.74,[nH] 1 c c ( c 2 c c ( c c c 12 ) C n 1 n c n c 1 ) C C N ( C ) C
193,O-146,O=C1CC[C@@]2([C@@H]3[C@H]([C@@H]4CC[C@](O)(C(=O)CO)[C@]4(C[C@@H]3O)C)CCC2=C1)C,1.54,O = C 1 C C [C@@] 2 ( [C@@H] 3 [C@H] ( [C@@H] 4 C C [C@] ( O ) ( C ( = O ) C O ) [C@] 4 ( C [C@@H] 3 O ) C ) C C C 2 = C 1 ) C
194,E-logD7.4-33,Fc1ccc(cc1)-c1nn2c(N=C(C=C2N2CCNCC2)C(C)(C)C)c1,4.15,F c 1 c c c ( c c 1 ) - c 1 n n 2 c ( N = C ( C = C 2 N 2 C C N C C 2 ) C ( C ) ( C ) C ) c 1
195,A-logD7.4-795,Clc1cc(Oc2ccccc2)c(N(Cc2ccccc2OC)C(=O)C)cc1,3.74,Cl c 1 c c ( O c 2 c c c c c 2 ) c ( N ( C c 2 c c c c c 2 O C ) C ( = O ) C ) c c 1
196,O-103,Oc1ccccc1C(O)=O,-2.14,O c 1 c c c c c 1 C ( O ) = O
197,O-347,Clc1ccc(cc1)-c1c(nc(nc1N)N)CC,2.44,Cl c 1 c c c ( c c 1 ) - c 1 c ( n c ( n c 1 N ) N ) C C
198,A-logD7.4-572,O1C(=O)c2c(N=C1NCCCC(OCC)=O)cccc2,2.3,O 1 C ( = O ) c 2 c ( N = C 1 N C C C C ( O C C ) = O ) c c c c 2
199,O-3,Clc1cccc(Cl)c1\C=N\NC(N)=N,1.4,Cl c 1 c c c c ( Cl ) c 1\ C = N \ N C ( N ) = N
200,O-511,O=C1C=C2CC[C@@H]3[C@@H]([C@@]2(C=C1)C)[C@H](O)C[C@@]1([C@@H]3CC[C@]1(O)C(=O)CO)C,1.83,O = C 1 C = C 2 C C [C@@H] 3 [C@@H] ( [C@@] 2 ( C = C 1 ) C ) [C@H] ( O ) C [C@@] 1 ( [C@@H] 3 C C [C@] 1 ( O ) C ( = O ) C O ) C
201,A-logD7.4-703,O1C(=O)c2c(N=C1NC(C)C)cccc2C,3.0,O 1 C ( = O ) c 2 c ( N = C 1 N C ( C ) C ) c c c c 2 C
202,C-logD7.4-15,O(CCCON1C(NC(=NC1=N)N)(C)C)c1ccccc1C,2.83,O ( C C C O N 1 C ( N C ( = N C 1 = N ) N ) ( C ) C ) c 1 c c c c c 1 C
203,O-318,Clc1cc(C(=O)NCCN(CC)CC)c(OC)cc1N,0.41,Cl c 1 c c ( C ( = O ) N C C N ( C C ) C C ) c ( O C ) c c 1 N
204,A-logD7.4-482,Clc1cc2NC3=C(C(=O)c2cc1)C(=O)N(NC3=O)CC#Cc1ccccc1,1.78,Cl c 1 c c 2 N C 3 = C ( C ( = O ) c 2 c c 1 ) C ( = O ) N ( N C 3 = O ) C C # C c 1 c c c c c 1
205,A-logD7.4-97,S1(=O)(=O)NCCN1Cc1cc2c([nH]cc2CCN(C)C)cc1,-0.97,S 1 ( = O ) ( = O ) N C C N 1 C c 1 c c 2 c ( [nH] c c 2 C C N ( C ) C ) c c 1
206,O-374,S(=O)(=O)(Nc1ccc(cc1)[C@H](O)CNC(C)C)C,-1.19,S ( = O ) ( = O ) ( N c 1 c c c ( c c 1 ) [C@H] ( O ) C N C ( C ) C ) C
207,A-logD7.4-569,Clc1cc(ccc1Cl)[C@@H]1CC[C@H](NC)c2cc(ccc12)C(=O)N,2.3,Cl c 1 c c ( c c c 1 Cl ) [C@@H] 1 C C [C@H] ( N C ) c 2 c c ( c c c 12 ) C ( = O ) N
208,E-logD7.4-43,o1cc(nc1-c1cc(OC)ccc1)CNC(CCCCC)C,4.32,o 1 c c ( n c 1- c 1 c c ( O C ) c c c 1 ) C N C ( C C C C C ) C
209,B-logD7.4-87,O(COC)C1CCN(CC1)C(=O)[C@@H](N[C@@H](CCCC)C(=O)N[C@H]([C@@H](O)C[C@@H](C(C)C)C(=O)NCCCNCCO)CC1CCCCC1)Cc1ccccc1,3.5,O ( C O C ) C 1 C C N ( C C 1 ) C ( = O ) [C@@H] ( N [C@@H] ( C C C C ) C ( = O ) N [C@H] ( [C@@H] ( O ) C [C@@H] ( C ( C ) C ) C ( = O ) N C C C N C C O ) C C 1 C C C C C 1 ) C c 1 c c c c c 1
210,B-logD7.4-8,S(=O)(=O)(c1cc(CN(C)C)c(O)cc1)c1cc(S(=O)(=O)N)oc1,0.11,S ( = O ) ( = O ) ( c 1 c c ( C N ( C ) C ) c ( O ) c c 1 ) c 1 c c ( S ( = O ) ( = O ) N ) o c 1
211,A-logD7.4-311,OC=1C(=O)C=CN(CCCC)C=1C,0.7,O C = 1 C ( = O ) C = C N ( C C C C ) C = 1 C
212,B-logD7.4-129,n1ccn(c1)C(c1ccc(cc1)-c1ccccc1)c1ccccc1,4.77,n 1 c c n ( c 1 ) C ( c 1 c c c ( c c 1 ) - c 1 c c c c c 1 ) c 1 c c c c c 1
213,A-logD7.4-250,Fc1cc(ccc1N1C=C(C(O)=O)C(=O)c2cc(F)c(N3CCNCC3)cc12)C,0.31,F c 1 c c ( c c c 1 N 1 C = C ( C ( O ) = O ) C ( = O ) c 2 c c ( F ) c ( N 3 C C N C C 3 ) c c 12 ) C
214,A-logD7.4-452,Clc1ccc(cc1)C(=O)n1c2c(cc(OC)cc2)c(CC(O)=O)c1C,1.61,Cl c 1 c c c ( c c 1 ) C ( = O ) n 1 c 2 c ( c c ( O C ) c c 2 ) c ( C C ( O ) = O ) c 1 C
215,A-logD7.4-606,N(CCCN1c2c(CCc3c1cccc3)cccc2)(C)C,2.49,N ( C C C N 1 c 2 c ( C C c 3 c 1 c c c c 3 ) c c c c 2 ) ( C ) C
216,O-566,S(=O)(=O)(N(CCC)CCC)c1ccc(cc1)C(O)=O,-0.23,S ( = O ) ( = O ) ( N ( C C C ) C C C ) c 1 c c c ( c c 1 ) C ( O ) = O
217,A-logD7.4-159,OC=1C(=O)C=CN(CCC(=O)N(CC)CC)C=1C,-0.36,O C = 1 C ( = O ) C = C N ( C C C ( = O ) N ( C C ) C C ) C = 1 C
218,B-logD7.4-226,Clc1cc2OCOc2cc1CN1CCC2(N(CNC2=O)c2ccccc2)CC1,3.0,Cl c 1 c c 2 O C O c 2 c c 1 C N 1 C C C 2 ( N ( C N C 2 = O ) c 2 c c c c c 2 ) C C 1
219,B-logD7.4-352,Fc1cc(F)cc(F)c1CN1c2c(cccc2)[C@](NCC1=O)([C@H](Oc1nc(cc(n1)C)C)C(O)=O)c1cc(ccc1)-c1ccccc1,1.8,F c 1 c c ( F ) c c ( F ) c 1 C N 1 c 2 c ( c c c c 2 ) [C@] ( N C C 1 = O ) ( [C@H] ( O c 1 n c ( c c ( n 1 ) C ) C ) C ( O ) = O ) c 1 c c ( c c c 1 ) - c 1 c c c c c 1
220,B-logD7.4-234,s1nc2cc(ccc2n1)COC(=O)N1CCC2(N(CNC2=O)c2ccccc2)CC1,3.4,s 1 n c 2 c c ( c c c 2 n 1 ) C O C ( = O ) N 1 C C C 2 ( N ( C N C 2 = O ) c 2 c c c c c 2 ) C C 1
221,A-logD7.4-589,O1C(=O)c2c(N=C1NCCC)cccc2,2.4,O 1 C ( = O ) c 2 c ( N = C 1 N C C C ) c c c c 2
222,E-logD7.4-2,O(C(=O)c1ccccc1)C1=CC(=O)N(C1)C,2.34,O ( C ( = O ) c 1 c c c c c 1 ) C 1 = C C ( = O ) N ( C 1 ) C
